chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
ADFV01135026	1742	1743	AluID:220611	1	+	20	-11.43	11	11	5
ADFV01135302	36677	36678	AluID:315179	chr20:31478937:31478938	-	18	0.96	7	7	5
ADFV01135302	5716	5717	AluID:315202	chr20:31509654:31509655	-	22	3.97	17	17	5
ADFV01135327	53984	53985	AluID:201122	chr11:86851118:86851119	+	22	-5.47	10	10	6
ADFV01135372	61614	61615	AluID:132307	chr7:107124145:107124146	-	22	-15.37	20	20	5
ADFV01135452	38664	38665	AluID:41433	chr2:111403011:111403012	-	19	3.58	15	15	8
ADFV01135452	57314	57315	AluID:41438	chr2:111420848:111420849	-	18	-5.39	6	6	6
ADFV01136076	29953	29954	AluID:278459	-1	-	20	-7.76	18	18	5
ADFV01136134	14385	14386	AluID:221955	chr12:123508630:123508631	+	19	0.45	7	7	6
ADFV01136171	31540	31541	AluID:100758	chr5:150840574:150840575	+	18	3.59	14	7	14
ADFV01136171	32904	32905	AluID:100759	chr5:150841944:150841945	+	21	2.79	23	23	5
ADFV01136734	14995	14996	AluID:153608	chr9:34658948:34658949	+	19	-20.74	16	16	5
ADFV01137269	19495	19496	AluID:153189	chr9:33857333:33857334	-	21	-1.47	5	4	5
ADFV01137519	8464	8465	AluID:11060	chr1:50921738:50921739	-	19	8.70	9	9	7
ADFV01137870	4561	4562	AluID:83040	-1	-	20	-5.27	9	9	5
ADFV01137972	5576	5577	AluID:215164	chr12:88419520:88419521	+	19	-1.10	6	6	5
ADFV01138611	11240	11241	AluID:81980	chr4:87905493:87905494	-	19	-5.74	24	24	4
ADFV01138841	3228	3229	AluID:310385	-1	+	20	-0.49	7	7	5
ADFV01139254	6686	6687	AluID:71154	1	-	20	8.75	8	8	5
ADFV01140969	104	105	AluID:259256	chr16:23442298:23442299	-	22	-4.41	NA	NA	NA
ADFV01140969	7707	7708	AluID:259266	chr16:23450611:23450612	-	21	-16.58	8	8	5
ADFV01142727	6664	6665	AluID:319578	chr20:52219961:52219962	-	19	-3.93	24	12	24
ADFV01143297	5535	5536	AluID:185618	chr10:94320531:94320532	-	18	-13.74	11	11	5
ADFV01144945	530	531	AluID:257172	chr16:15195186:15195187	+	18	-6.17	23	23	6
ADFV01145612	2265	2266	AluID:27930	chr1:235450564:235450565	+	18	-6.50	6	6	5
GL397261	10517902	10517903	AluID:313802	1	+	20	5.13	4	3	4
GL397261	10958768	10958769	AluID:313815	chr20:16266466:16266467	-	19	0.59	7	7	6
GL397261	11126266	11126267	AluID:313828	chr20:16428590:16428591	-	18	2.59	4	4	4
GL397261	11221857	11221858	AluID:313845	chr20:16512711:16512712	-	21	2.96	15	15	6
GL397261	11257283	11257284	AluID:313855	-1	-	20	-11.00	20	20	5
GL397261	11828535	11828536	AluID:128886	chr7:80527687:80527688	-	18	-1.26	6	6	5
GL397261	12684982	12684983	AluID:128893	-1	-	20	-24.76	8	4	8
GL397261	13362484	13362485	AluID:128949	chr7:82002488:82002489	-	21	-22.21	17	17	5
GL397261	13880399	13880400	AluID:128975	chr7:82517393:82517394	-	19	-5.92	16	16	6
GL397261	14476755	14476756	AluID:129012	-1	-	20	-7.52	21	21	6
GL397261	15176181	15176182	AluID:129051	chr7:83789873:83789874	-	18	-4.31	8	3	8
GL397261	15182522	15182523	AluID:129057	-1	-	20	-7.60	11	11	11
GL397261	16105775	16105776	AluID:129098	-1	-	20	2.03	16	16	7
GL397261	18126313	18126314	AluID:129141	chr7:86810192:86810193	+	21	-1.21	14	14	5
GL397261	18631591	18631592	AluID:129190	chr7:87269675:87269676	+	22	0.81	13	6	13
GL397261	18650643	18650644	AluID:129196	chr7:87288478:87288479	-	22	-2.62	6	4	6
GL397261	18853253	18853254	AluID:129227	chr7:87474421:87474422	-	18	-12.66	13	13	11
GL397261	20290307	20290308	AluID:129321	chr7:88790893:88790894	+	19	-13.05	5	4	5
GL397261	21375488	21375489	AluID:129331	chr7:89825270:89825271	+	21	1.28	5	5	5
GL397261	21612343	21612344	AluID:129377	1	+	20	0.21	5	5	5
GL397261	21752025	21752026	AluID:129404	chr7:90218757:90218758	+	21	2.33	16	16	5
GL397261	21985358	21985359	AluID:129440	1	+	20	-6.58	7	7	5
