chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
chr10	1034887	1034888	Aluexon:2606	chr20:61910570:61910571:+	-	23	5.02	NA	9	NA
chr10	13483950	13483951	Aluexon:2598	chr20:49557746:49557747:-	+	9	6.62	15	15	5
chr10	13549970	13549971	Aluexon:2597	chr20:49492532:49492533:+	-	45	-1.31	16	16	5
chr10	13631948	13631949	Aluexon:2596	chr20:49413477:49413478:+	-	110	-20.57	7	7	4
chr10	14265933	14265934	Aluexon:2594	chr20:48789737:48789738:+	-	31	6.46	9	5	9
chr10	14796856	14796857	Aluexon:2593	chr20:48266071:48266072:-	+	65	-30.85	5	5	5
chr10	17956989	17956990	Aluexon:5913	chr20:45135097:45135098:-	+	174	8.82	10	8	10
chr10	18074324	18074325	Aluexon:5810	chr15:22797748:22797749:-	+	113	-13.68	6	6	6
chr10	18440275	18440276	Aluexon:5475	chr20:44666861:44666862:+	-	37	3.78	7	6	7
chr10	18458538	18458539	Aluexon:2589	chr20:44648487:44648488:-	+	36	2.49	13	13	5
chr10	18590618	18590619	Aluexon:5156	chr20:44524553:44524554:-	+	296	-13.77	5	3	5
chr10	18650166	18650167	Aluexon:2587	chr20:44466905:44466906:+	-	190	10.27	8	8	6
chr10	18882028	18882029	Aluexon:6764	chr20:44180251:44180252:-	+	31	4.93	12	12	6
chr10	19071920	19071921	Aluexon:5474	chr20:44002932:44002933:+	-	24	7.66	9	9	6
chr10	19457648	19457649	Aluexon:4120	chr20:43602739:43602740:+	-	5	7.69	5	5	4
chr10	19630907	19630908	Aluexon:5155	chr20:43433772:43433773:-	+	201	9.52	15	3	15
chr10	19708813	19708814	Aluexon:5154	chr20:43361801:43361802:-	+	36	4.19	14	14	6
chr10	19774239	19774240	Aluexon:2586	chr20:43297263:43297264:-	+	245	-25.30	13	13	4
chr10	20226472	20226473	Aluexon:2584	chr20:42843526:42843527:+	-	16	3.22	22	22	7
chr10	2049289	2049290	Aluexon:5160	chr20:60919172:60919173:-	+	48	7.58	17	17	5
chr10	2051044	2051045	Aluexon:2717	chr20:60917355:60917356:-	+	14	0.30	17	17	6
chr10	20806910	20806911	Aluexon:2580	chr20:42284612:42284613:+	-	17	9.53	11	11	6
chr10	20842673	20842674	Aluexon:2581	chr20:42246881:42246882:+	-	27	0.42	NA	NA	NA
chr10	2253810	2253811	Aluexon:5158	chr20:60725733:60725734:+	-	36	1.94	16	16	6
chr10	23278586	23278587	Aluexon:2582	chr20:39842539:39842540:-	+	189	5.24	7	7	6
chr10	23358858	23358859	Aluexon:2578	chr20:39762285:39762286:-	+	34	3.01	17	17	4
chr10	26074445	26074446	Aluexon:2577	chr20:37054700:37054701:-	+	21	-6.07	17	17	5
chr10	26074449	26074450	Aluexon:2575	chr20:37054696:37054697:-	+	25	9.76	17	17	5
chr10	26085473	26085474	Aluexon:2576	chr20:37043875:37043876:-	+	14	3.91	5	5	5
chr10	26212682	26212683	Aluexon:6275	chr20:36917427:36917428:+	-	12	6.06	7	3	7
chr10	26486074	26486075	Aluexon:2572	chr20:36647546:36647547:-	+	16	10.68	12	12	6
chr10	26783632	26783633	Aluexon:5150	chr20:36353337:36353338:+	-	27	4.60	12	12	6
chr10	27021902	27021903	Aluexon:2571	chr20:36120616:36120617:-	+	32	2.53	5	5	5
chr10	27127179	27127180	Aluexon:2574	chr20:36012158:36012159:+	-	33	-5.51	9	9	7
chr10	27211134	27211135	Aluexon:5473	chr20:35927164:35927165:+	-	20	7.73	6	6	6
chr10	27405689	27405690	Aluexon:2573	chr20:35729821:35729822:-	+	14	11.50	NA	13	NA
chr10	27426064	27426065	Aluexon:5149	chr20:35711864:35711865:-	+	32	3.20	NA	6	NA
chr10	27917294	27917295	Aluexon:4119	chr20:35218275:35218276:+	-	179	6.17	5	5	5
chr10	28267099	28267100	Aluexon:2566	chr20:34858453:34858454:+	-	27	10.80	16	16	3
chr10	28295144	28295145	Aluexon:2567	chr20:34830093:34830094:+	-	31	10.21	15	15	5
chr10	28707744	28707745	Aluexon:2565	chr20:34433390:34433391:+	-	105	-26.49	9	7	9
chr10	28707829	28707830	Aluexon:2564	chr20:34433305:34433306:+	-	20	6.90	9	7	9
chr10	28775166	28775167	Aluexon:5472	chr20:34370248:34370249:+	-	53	4.69	27	27	19
chr10	28836470	28836471	Aluexon:5148	chr20:34321356:34321357:-	+	196	-20.33	7	5	7
chr10	28876546	28876547	Aluexon:2563	chr20:34282807:34282808:-	+	21	2.30	18	18	6
chr10	28879575	28879576	Aluexon:2561	chr20:34280292:34280293:-	+	40	-4.85	6	6	6
chr10	29134404	29134405	Aluexon:2554	chr20:34029194:34029195:-	+	20	6.60	6	6	3
chr10	29169491	29169492	Aluexon:2555	chr20:33997270:33997271:-	+	18	0.08	11	11	5
chr10	29193029	29193030	Aluexon:2556	chr20:33972349:33972350:-	+	116	-18.60	19	19	2
chr10	29201068	29201069	Aluexon:2557	chr20:33963600:33963601:-	+	177	-14.28	6	6	5
chr10	29227920	29227921	Aluexon:5147	chr20:33937788:33937789:-	+	36	-0.30	6	4	6
chr10	29269839	29269840	Aluexon:6442	chr20:33897016:33897017:-	+	235	-3.26	10	10	6
chr10	29365064	29365065	Aluexon:2600	chr20:33804674:33804675:-	+	14	6.43	8	4	8
chr10	29576333	29576334	Aluexon:2553	chr20:33597444:33597445:-	+	30	9.27	8	7	8
chr10	29610410	29610411	Aluexon:6598	chr20:33563201:33563202:+	-	3	8.65	4	4	4
chr10	29686479	29686480	Aluexon:2559	chr20:33488075:33488076:+	-	106	-15.41	11	9	11
chr10	29691895	29691896	Aluexon:2558	chr20:33481370:33481371:+	-	199	8.61	16	5	16
chr10	29789806	29789807	Aluexon:5143	chr20:33392305:33392306:-	+	20	-8.96	16	16	3
chr10	29805572	29805573	Aluexon:5144	chr20:33377872:33377873:-	+	16	8.95	30	30	9
chr10	29831959	29831960	Aluexon:2551	chr20:33352830:33352831:-	+	114	-16.67	11	11	5
chr10	29980610	29980611	Aluexon:5911	chr20:33202421:33202422:-	+	25	1.35	13	13	6
chr10	30166415	30166416	Aluexon:4118	chr20:33011673:33011674:+	-	261	-4.40	6	6	5
chr10	30190449	30190450	Aluexon:5141	chr20:32985012:32985013:+	-	189	4.94	8	8	5
chr10	30194248	30194249	Aluexon:5142	chr20:32980537:32980538:+	-	32	2.98	6	6	5
chr10	30509292	30509293	Aluexon:5140	chr20:32697899:32697900:-	+	27	9.37	10	9	10
chr10	30524125	30524126	Aluexon:2560	chr20:32684092:32684093:-	+	191	8.27	8	4	8
chr10	30952550	30952551	Aluexon:5910	chr20:32250584:32250585:-	+	152	-12.94	14	14	6
chr10	31017974	31017975	Aluexon:5471	chr20:32189634:32189635:+	-	19	1.09	16	5	16
chr10	31019487	31019488	Aluexon:5470	chr20:32188129:32188130:+	-	141	-29.07	16	16	5
chr10	31024508	31024509	Aluexon:5146	chr20:32184844:32184845:+	-	119	-40.07	8	8	8
chr10	31047331	31047332	Aluexon:2552	chr20:32161778:32161779:+	-	178	8.79	8	4	8
