chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
ADFV01135372	36937	36938	Aluexon:4628	chr7:107100233:107100234:-	-	23	0.42	12	5	12
ADFV01135452	10378	10379	Aluexon:5899	chr2:110980516:110980517:-	-	194	8.77	11	6	11
ADFV01135881	31861	31862	Aluexon:551	chr11:9180016:9180017:-	+	82	-14.71	13	5	13
ADFV01135881	31881	31882	Aluexon:550	chr11:9179996:9179997:-	+	102	-16.90	13	5	13
ADFV01135941	4645	4646	Aluexon:1379	chr16:30620584:30620585:-	+	17	9.21	12	12	4
ADFV01135941	5619	5620	Aluexon:1378	chr16:30619619:30619620:+	-	28	3.75	11	11	7
ADFV01135952	766	767	Aluexon:4288	chr1:100173881:100173882:-	-	299	-21.80	19	19	6
ADFV01136019	4851	4852	Aluexon:6501	chrY:7645069:7645070:-	+	126	7.24	10	3	10
ADFV01136111	13681	13682	Aluexon:6359	chrX:149120566:149120567:+	+	15	9.55	11	11	7
ADFV01136111	4275	4276	Aluexon:5652	chrX:149111867:149111868:+	+	31	8.12	9	9	5
ADFV01136974	11132	11133	Aluexon:4609	chr7:72931660:72931661:-	-	190	3.90	8	8	4
ADFV01137406	18285	18286	Aluexon:3240	chr6:750657:750658:+	+	38	6.96	10	10	4
ADFV01137689	11258	11259	Aluexon:1556	chr17:17876977:17876978:+	+	8	-11.75	5	5	4
ADFV01137689	17750	17751	Aluexon:1557	chr17:17883613:17883614:+	+	62	9.51	9	9	7
ADFV01137948	2631	2632	Aluexon:5665	chr1:89485894:89485895:-	-	37	8.26	15	15	6
ADFV01138001	339	340	Aluexon:3472	chr7:66804435:66804436:+	-	18	9.12	13	5	13
ADFV01138003	13387	13388	Aluexon:5906	chr2:211020026:211020027:-	+	122	-6.27	10	10	5
ADFV01138643	13326	13327	Aluexon:5721	chr12:31268637:31268638:-	+	38	-4.43	15	15	5
ADFV01138669	2929	2930	Aluexon:2317	chr2:48407555:48407556:-	-	77	-26.69	12	12	7
ADFV01139266	3499	3500	Aluexon:526	chr11:3719047:3719048:-	+	27	5.74	12	12	6
ADFV01141002	224	225	Aluexon:4260	chr1:41153274:41153275:-	-	22	7.14	NA	NA	NA
ADFV01147553	1303	1304	Aluexon:5688	chr10:75239726:75239727:-	+	34	5.56	5	5	4
ADFV01159718	405	406	Aluexon:4085	chr19:4931503:4931504:+	+	39	2.51	7	7	5
GL397261	11400135	11400136	Aluexon:6341	chr7:80115781:80115782:+	+	15	7.20	14	14	10
GL397261	11846203	11846204	Aluexon:4619	chr7:80545049:80545050:-	-	25	3.01	20	20	5
GL397261	13857308	13857309	Aluexon:3504	chr7:82496549:82496550:-	-	44	8.66	9	9	6
GL397261	18876716	18876717	Aluexon:3506	chr7:87489484:87489485:-	-	53	5.26	6	5	6
GL397261	21489091	21489092	Aluexon:3508	chr7:89935280:89935281:+	+	35	3.03	21	21	8
GL397261	224343	224344	Aluexon:2531	chr20:5745738:5745739:+	+	28	9.90	9	9	7
GL397261	22947447	22947448	Aluexon:6474	chr7:91431913:91431914:-	-	21	2.25	12	12	5
GL397261	24496816	24496817	Aluexon:3509	chr7:92949686:92949687:+	+	30	10.28	13	9	13
GL397261	25830481	25830482	Aluexon:6006	chr7:94227316:94227317:-	-	22	7.82	16	16	5
GL397261	25855053	25855054	Aluexon:4620	chr7:94251938:94251939:-	-	22	4.27	8	8	6
GL397261	26626373	26626374	Aluexon:3510	chr7:95042423:95042424:-	-	188	9.95	16	2	16
GL397261	27024712	27024713	Aluexon:3513	chr7:95431990:95431991:+	+	24	7.73	9	9	4
GL397261	27040545	27040546	Aluexon:3511	chr7:95447809:95447810:+	+	187	10.07	17	14	17
GL397261	27324342	27324343	Aluexon:3512	chr7:95739289:95739290:+	+	23	7.26	8	8	5
GL397261	28252100	28252101	Aluexon:3514	chr7:96608903:96608904:-	-	25	11.50	5	5	5
GL397261	30443154	30443155	Aluexon:3408	chr7:8305182:8305183:+	+	36	3.01	NA	19	NA
GL397261	3220997	3220998	Aluexon:2535	chr20:8731767:8731768:+	+	187	10.45	26	4	26
GL397261	33384139	33384140	Aluexon:3404	chr7:11105930:11105931:+	+	9	6.59	6	6	6
GL397261	33467834	33467835	Aluexon:3405	chr7:11182931:11182932:+	+	15	6.91	9	6	9
GL397261	34574282	34574283	Aluexon:3407	chr7:12255045:12255046:+	+	17	8.36	19	19	5
GL397261	34574466	34574467	Aluexon:3406	chr7:12255228:12255229:+	+	20	5.23	5	5	5
GL397261	34916805	34916806	Aluexon:5592	chr7:12629146:12629147:+	+	306	-29.99	20	20	6
GL397261	39819261	39819262	Aluexon:3409	chr7:17330995:17330996:-	-	30	2.91	6	6	5
GL397261	40378578	40378579	Aluexon:4593	chr7:17843671:17843672:-	-	26	-12.41	15	6	15
GL397261	40458337	40458338	Aluexon:3410	chr7:17922566:17922567:-	-	33	1.86	5	5	4
GL397261	40908253	40908254	Aluexon:3411	chr7:18365133:18365134:+	+	16	7.93	5	5	5
GL397261	41899938	41899939	Aluexon:3412	chr7:19340179:19340180:+	+	14	1.89	8	8	6
GL397261	45894105	45894106	Aluexon:5108	chr19:39304417:39304418:-	+	71	-24.05	14	14	5
GL397261	46312078	46312079	Aluexon:2075	chr19:38894612:38894613:+	-	85	-25.44	5	5	5
GL397261	46348771	46348772	Aluexon:5423	chr19:38860084:38860085:+	-	194	8.51	7	7	7
GL397261	46632267	46632268	Aluexon:2079	chr19:38596927:38596928:+	-	179	4.31	15	15	5
GL397261	46948844	46948845	Aluexon:5868	chr19:38261237:38261238:-	+	182	10.07	21	6	21
GL397261	46960230	46960231	Aluexon:2072	chr19:38249779:38249780:-	+	24	6.59	5	4	5
GL397261	46960779	46960780	Aluexon:2071	chr19:38249236:38249237:-	+	29	9.48	12	12	5
GL397261	46990500	46990501	Aluexon:2073	chr19:38220685:38220686:-	+	222	2.00	12	12	8
GL397261	47069417	47069418	Aluexon:4090	chr19:38140721:38140722:-	+	32	0.87	5	5	5
GL397261	47330493	47330494	Aluexon:2087	chr19:37875768:37875769:+	-	25	5.00	7	6	7
GL397261	47364659	47364660	Aluexon:6253	chr19:37850326:37850327:+	-	20	10.11	18	18	6
GL397261	47365570	47365571	Aluexon:2084	chr19:37849441:37849442:+	-	22	4.64	16	16	5
GL397261	47386613	47386614	Aluexon:2089	chr19:37828621:37828622:+	-	261	-0.94	NA	NA	NA
GL397261	47440098	47440099	Aluexon:2067	chr19:37715718:37715719:+	-	18	10.24	14	14	5
GL397261	47474837	47474838	Aluexon:2065	chr19:37686929:37686930:-	+	25	-6.66	15	15	5
