chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
chr10	100183139	100183140	Aluexon:5278	chr10:102764717:102764718:+	+	97	3.39	7	7	7
chr10	101374030	101374031	Aluexon:473	chr10:103921012:103921013:+	+	17	9.09	13	13	7
chr10	101663332	101663333	Aluexon:561	chr10:104209434:104209435:+	+	36	3.04	13	5	13
chr10	101663470	101663471	Aluexon:5279	chr10:104209572:104209573:+	+	174	-10.04	13	5	13
chr10	101668999	101669000	Aluexon:562	chr10:104215092:104215093:+	+	0	13.08	7	4	7
chr10	101933533	101933534	Aluexon:469	chr10:104476369:104476370:+	+	55	6.30	25	25	5
chr10	102050276	102050277	Aluexon:6206	chr10:104580972:104580973:+	+	5	7.56	6	4	6
chr10	102055842	102055843	Aluexon:6207	chr10:104586709:104586710:+	+	27	11.34	15	5	15
chr10	102390482	102390483	Aluexon:4762	chr10:104917825:104917826:-	-	25	4.58	13	13	5
chr10	102402189	102402190	Aluexon:471	chr10:104929206:104929207:-	-	176	7.43	8	8	5
chr10	102413754	102413755	Aluexon:4760	chr10:104941085:104941086:-	-	20	3.01	15	15	4
chr10	102439927	102439928	Aluexon:6382	chr10:104959262:104959263:-	-	27	10.18	8	8	4
chr10	102483308	102483309	Aluexon:6521	chr10:105005642:105005643:+	+	299	-21.37	6	6	6
chr10	102578397	102578398	Aluexon:5695	chr10:105099378:105099379:-	-	188	4.23	19	19	6
chr10	102637882	102637883	Aluexon:486	chr10:105160527:105160528:+	+	33	7.90	5	5	5
chr10	102654331	102654332	Aluexon:4012	chr10:105176953:105176954:+	+	34	2.89	11	11	5
chr10	102803711	102803712	Aluexon:472	chr10:105327264:105327265:+	+	116	-15.73	7	7	6
chr10	102825950	102825951	Aluexon:480	chr10:105348696:105348697:-	-	21	11.12	NA	13	NA
chr10	102844463	102844464	Aluexon:4767	chr10:105366154:105366155:+	+	173	7.20	16	3	16
chr10	102913496	102913497	Aluexon:5696	chr10:105433314:105433315:-	-	28	1.81	6	4	6
chr10	108870058	108870059	Aluexon:1298	chr16:2660461:2660462:+	-	12	-5.80	5	4	5
chr10	109304129	109304130	Aluexon:5697	chr10:111711723:111711724:-	-	22	4.76	8	8	6
chr10	110238714	110238715	Aluexon:477	chr10:112630196:112630197:-	-	208	-1.46	6	6	5
chr10	110270162	110270163	Aluexon:478	chr10:112660880:112660881:-	-	167	8.37	7	7	5
chr10	112279492	112279493	Aluexon:476	chr10:114650723:114650724:+	+	27	9.07	5	5	5
chr10	113122874	113122875	Aluexon:479	chr10:115485574:115485575:+	+	21	4.41	12	12	5
chr10	116287790	116287791	Aluexon:6383	chr10:118616492:118616493:-	-	27	3.01	13	13	6
chr10	11719674	11719675	Aluexon:6376	chr10:11607637:11607638:-	-	20	12.85	15	15	5
chr10	118551112	118551113	Aluexon:487	chr10:120864821:120864822:+	+	32	10.32	12	12	6
chr10	118602036	118602037	Aluexon:4764	chr10:120918788:120918789:-	-	33	1.03	7	7	5
chr10	118620546	118620547	Aluexon:481	chr10:120936911:120936912:-	-	269	-0.12	10	10	5
chr10	118956075	118956076	Aluexon:4013	chr10:121272964:121272965:-	-	36	2.71	8	6	8
chr10	11906140	11906141	Aluexon:5263	chr10:11794134:11794135:+	+	20	3.80	32	5	32
chr10	12004674	12004675	Aluexon:368	chr10:11893755:11893756:-	-	17	10.93	12	12	4
chr10	12041607	12041608	Aluexon:6691	chr10:11929952:11929953:-	-	83	-1.15	7	5	4
chr10	12119106	12119107	Aluexon:366	chr10:12002644:12002645:-	-	141	-0.13	13	13	6
chr10	121370742	121370743	Aluexon:4765	chr10:123638098:123638099:-	-	38	-1.01	12	12	5
chr10	121462446	121462447	Aluexon:499	chr10:123728856:123728857:-	-	41	5.76	7	7	5
chr10	121483680	121483681	Aluexon:4766	chr10:123749671:123749672:+	+	38	-29.20	10	10	6
chr10	121702336	121702337	Aluexon:490	chr10:123969387:123969388:+	+	185	6.57	7	5	7
chr10	122236189	122236190	Aluexon:6522	chr10:124516911:124516912:+	+	44	3.45	6	4	6
chr10	122364584	122364585	Aluexon:491	chr10:124644231:124644232:+	+	172	8.15	15	6	15
chr10	123263235	123263236	Aluexon:493	chr10:125529079:125529080:-	-	38	-17.52	8	8	8
chr10	124009371	124009372	Aluexon:504	chr10:126156108:126156109:+	+	34	-12.85	13	8	13
chr10	12403419	12403420	Aluexon:384	chr10:12279459:12279460:+	+	35	-0.01	6	5	6
chr10	124311481	124311482	Aluexon:505	chr10:126451127:126451128:-	-	47	8.01	5	5	5
chr10	124344611	124344612	Aluexon:507	chr10:126478279:126478280:-	-	80	-26.87	24	24	6
chr10	125329057	125329058	Aluexon:497	chr10:127437809:127437810:-	-	28	4.19	16	16	7
chr10	125489697	125489698	Aluexon:500	chr10:127598286:127598287:+	+	212	10.22	22	7	22
chr10	129766143	129766144	Aluexon:502	chr10:131866872:131866873:-	-	24	4.74	27	27	5
chr10	129801332	129801333	Aluexon:503	chr10:131899475:131899476:-	-	20	11.06	16	16	6
chr10	129880903	129880904	Aluexon:511	chr10:131978375:131978376:+	+	16	11.18	16	16	6
chr10	130920093	130920094	Aluexon:5698	chr10:132962382:132962383:-	-	36	1.94	18	18	5
chr10	13182317	13182318	Aluexon:369	chr10:13037078:13037079:-	-	24	5.12	15	15	5
chr10	133119518	133119519	Aluexon:5699	chr10:135110908:135110909:-	-	22	8.91	5	5	5
chr10	133122592	133122593	Aluexon:520	chr10:135113979:135113980:-	-	116	-10.81	5	4	5
chr10	133329001	133329002	Aluexon:517	chr10:135304724:135304725:+	+	39	6.40	12	12	5
chr10	13468570	13468571	Aluexon:370	chr10:13317624:13317625:-	-	20	-2.24	11	11	6
chr10	14306494	14306495	Aluexon:5682	chr10:14139137:14139138:-	-	32	3.83	11	11	5
chr10	15072042	15072043	Aluexon:383	chr10:14876332:14876333:-	-	34	3.01	19	19	7
chr10	15136711	15136712	Aluexon:4740	chr10:14941311:14941312:-	-	15	9.88	10	10	5
chr10	15490718	15490719	Aluexon:5264	chr10:15098821:15098822:+	+	6	8.28	8	7	8
chr10	15540444	15540445	Aluexon:5265	chr10:15144215:15144216:+	+	22	11.46	17	17	6
chr10	15542655	15542656	Aluexon:379	chr10:15146434:15146435:+	+	32	3.99	14	14	5
chr10	15578652	15578653	Aluexon:377	chr10:15182536:15182537:+	+	22	10.84	11	11	4
chr10	15713291	15713292	Aluexon:374	chr10:15307574:15307575:-	-	2	10.18	14	14	6
chr10	18077167	18077168	Aluexon:6377	chr10:17657963:17657964:-	-	17	8.80	6	6	5
chr10	19009676	19009677	Aluexon:382	chr10:18816298:18816299:-	-	25	2.06	6	6	5
chr10	19024471	19024472	Aluexon:381	chr10:18831106:18831107:-	-	26	-0.04	7	7	5
chr10	19050218	19050219	Aluexon:4007	chr10:18870632:18870633:-	-	134	-25.72	15	15	4
chr10	20012167	20012168	Aluexon:6692	chr10:20011351:20011352:-	-	196	6.88	16	16	6
chr10	2034564	2034565	Aluexon:4738	chr10:1999892:1999893:+	+	209	2.63	17	6	17
chr10	21891064	21891065	Aluexon:5266	chr10:21840743:21840744:+	+	14	11.74	15	15	5
chr10	22691234	22691235	Aluexon:5267	chr10:22636944:22636945:+	+	22	3.28	13	13	5
chr10	22702422	22702423	Aluexon:5268	chr10:22648338:22648339:+	+	11	2.73	10	10	4
chr10	23006185	23006186	Aluexon:380	chr10:22948659:22948660:-	-	70	9.01	3	2	3
chr10	24841922	24841923	Aluexon:6378	chr10:24736989:24736990:-	-	79	-7.52	10	10	5
chr10	27185687	27185688	Aluexon:389	chr10:27124275:27124276:-	-	245	-20.84	11	11	6
chr10	27191711	27191712	Aluexon:390	chr10:27128712:27128713:-	-	225	7.83	8	8	6
chr10	27427918	27427919	Aluexon:387	chr10:27369017:27369018:-	-	99	-11.51	8	8	5
chr10	27507851	27507852	Aluexon:396	chr10:27448946:27448947:+	+	28	2.99	16	7	16
chr10	28255096	28255097	Aluexon:388	chr10:28142292:28142293:-	-	1	-3.52	6	3	6
chr10	28893006	28893007	Aluexon:4742	chr10:28767100:28767101:-	-	22	11.59	8	8	7
chr10	29224772	29224773	Aluexon:5683	chr10:29083572:29083573:-	-	29	1.51	6	3	6
chr10	29895301	29895302	Aluexon:6204	chr10:29743269:29743270:+	+	171	-7.88	7	7	5
chr10	30060887	30060888	Aluexon:393	chr10:29906505:29906506:-	-	32	13.04	8	8	6
chr10	30521558	30521559	Aluexon:392	chr10:30358629:30358630:-	-	136	-25.52	10	5	10
chr10	31418555	31418556	Aluexon:4743	chr10:31252318:31252319:-	-	27	3.94	9	9	5
chr10	33361479	33361480	Aluexon:402	chr10:33195508:33195509:-	-	34	0.24	7	5	7
chr10	35207504	35207505	Aluexon:4008	chr10:35019625:35019626:-	-	92	-16.55	7	5	7
chr10	35657648	35657649	Aluexon:398	chr10:35460119:35460120:+	+	30	7.25	22	22	5
chr10	36152360	36152361	Aluexon:397	chr10:35946080:35946081:+	+	30	9.43	6	6	4
chr10	4164006	4164007	Aluexon:6516	chr10:4127387:4127388:+	+	245	6.84	13	10	13
