chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
chr10	101950054	101950055	Aluexon:466	chr10:101950054:101950055:+	+	277	-5.64	17	17	6
chr10	101991001	101991002	Aluexon:467	chr10:101991001:101991002:+	+	28	5.96	6	3	6
chr10	102764717	102764718	Aluexon:5278	chr10:102764717:102764718:+	+	97	3.15	7	6	7
chr10	102777372	102777373	Aluexon:494	chr10:102777372:102777373:-	-	171	8.84	12	12	7
chr10	103921012	103921013	Aluexon:473	chr10:103921012:103921013:+	+	17	9.09	13	13	7
chr10	104209434	104209435	Aluexon:561	chr10:104209434:104209435:+	+	36	3.04	21	11	21
chr10	104209572	104209573	Aluexon:5279	chr10:104209572:104209573:+	+	174	-9.58	21	11	21
chr10	104215092	104215093	Aluexon:562	chr10:104215092:104215093:+	+	0	13.08	7	4	7
chr10	104229347	104229348	Aluexon:563	chr10:104229347:104229348:+	+	46	9.38	11	11	5
chr10	104476369	104476370	Aluexon:469	chr10:104476369:104476370:+	+	55	6.30	23	23	6
chr10	104580972	104580973	Aluexon:6206	chr10:104580972:104580973:+	+	5	7.56	6	4	6
chr10	104586709	104586710	Aluexon:6207	chr10:104586709:104586710:+	+	27	11.34	17	5	17
chr10	104917825	104917826	Aluexon:4762	chr10:104917825:104917826:-	-	25	6.00	12	12	5
chr10	104929206	104929207	Aluexon:471	chr10:104929206:104929207:-	-	176	7.43	8	8	5
chr10	104941085	104941086	Aluexon:4760	chr10:104941085:104941086:-	-	20	3.01	14	14	4
chr10	104959262	104959263	Aluexon:6382	chr10:104959262:104959263:-	-	27	10.18	8	8	4
chr10	105005642	105005643	Aluexon:6521	chr10:105005642:105005643:+	+	299	-21.37	6	6	6
chr10	105099378	105099379	Aluexon:5695	chr10:105099378:105099379:-	-	188	4.23	10	10	6
chr10	105160527	105160528	Aluexon:486	chr10:105160527:105160528:+	+	33	7.90	5	5	5
chr10	105176953	105176954	Aluexon:4012	chr10:105176953:105176954:+	+	34	2.89	11	11	5
chr10	105327264	105327265	Aluexon:472	chr10:105327264:105327265:+	+	116	-15.73	7	7	6
chr10	105348696	105348697	Aluexon:480	chr10:105348696:105348697:-	-	21	11.28	19	19	6
chr10	105366154	105366155	Aluexon:4767	chr10:105366154:105366155:+	+	173	7.20	17	3	17
chr10	105433314	105433315	Aluexon:5696	chr10:105433314:105433315:-	-	28	1.81	6	4	6
chr10	111711723	111711724	Aluexon:5697	chr10:111711723:111711724:-	-	22	4.76	13	8	13
chr10	112630196	112630197	Aluexon:477	chr10:112630196:112630197:-	-	208	6.49	6	6	5
chr10	112660880	112660881	Aluexon:478	chr10:112660880:112660881:-	-	167	7.83	8	8	5
chr10	114650723	114650724	Aluexon:476	chr10:114650723:114650724:+	+	27	9.07	5	5	5
chr10	115485574	115485575	Aluexon:479	chr10:115485574:115485575:+	+	21	4.33	11	11	5
chr10	11607637	11607638	Aluexon:6376	chr10:11607637:11607638:-	-	20	11.10	15	15	5
chr10	11794134	11794135	Aluexon:5263	chr10:11794134:11794135:+	+	20	2.77	21	11	21
chr10	118616492	118616493	Aluexon:6383	chr10:118616492:118616493:-	-	27	8.49	16	16	6
chr10	11893755	11893756	Aluexon:368	chr10:11893755:11893756:-	-	17	10.13	9	9	4
chr10	11929952	11929953	Aluexon:6691	chr10:11929952:11929953:-	-	83	-1.15	7	5	4
chr10	12002644	12002645	Aluexon:366	chr10:12002644:12002645:-	-	141	-0.13	12	12	6
chr10	120864821	120864822	Aluexon:487	chr10:120864821:120864822:+	+	32	10.04	14	14	6
chr10	120893593	120893594	Aluexon:488	chr10:120893593:120893594:+	+	39	-17.39	8	8	5
chr10	120893956	120893957	Aluexon:489	chr10:120893956:120893957:+	+	94	6.14	17	17	7
chr10	120918788	120918789	Aluexon:4764	chr10:120918788:120918789:-	-	33	1.01	8	8	5
chr10	120936911	120936912	Aluexon:481	chr10:120936911:120936912:-	-	269	-0.12	20	20	5
chr10	121272964	121272965	Aluexon:4013	chr10:121272964:121272965:-	-	36	7.89	8	5	8
chr10	12133991	12133992	Aluexon:371	chr10:12133991:12133992:+	+	21	12.22	20	20	5
chr10	12279459	12279460	Aluexon:384	chr10:12279459:12279460:+	+	35	-0.01	6	5	6
chr10	123638098	123638099	Aluexon:4765	chr10:123638098:123638099:-	-	38	-1.11	10	10	5
chr10	123721622	123721623	Aluexon:498	chr10:123721622:123721623:-	-	19	12.20	18	18	8
chr10	123728856	123728857	Aluexon:499	chr10:123728856:123728857:-	-	41	6.00	7	7	5
chr10	123749671	123749672	Aluexon:4766	chr10:123749671:123749672:+	+	38	-29.20	11	11	6
chr10	123969387	123969388	Aluexon:490	chr10:123969387:123969388:+	+	185	6.57	7	5	7
chr10	124516911	124516912	Aluexon:6522	chr10:124516911:124516912:+	+	44	3.45	6	3	6
chr10	124644231	124644232	Aluexon:491	chr10:124644231:124644232:+	+	172	6.37	8	6	8
chr10	125529079	125529080	Aluexon:493	chr10:125529079:125529080:-	-	38	-17.52	8	8	8
chr10	126103634	126103635	Aluexon:495	chr10:126103634:126103635:-	-	39	-9.06	37	37	6
