chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
chr10	100183816	100183817	Aluexon:4885	chr14:75383376:75383377:-	-	21	9.40	23	23	5
chr10	100393549	100393550	Aluexon:1088	chr14:75582927:75582928:-	-	206	-18.98	NA	NA	6
chr10	10118762	10118763	Aluexon:1209	chr15:67938010:67938011:+	+	114	-11.91	7	7	7
chr10	101233551	101233552	Aluexon:1078	chr14:76408031:76408032:+	+	18	4.19	13	13	4
chr10	102134521	102134522	Aluexon:1082	chr14:77276597:77276598:-	-	191	6.50	11	11	6
chr10	102394719	102394720	Aluexon:1081	chr14:77532428:77532429:+	+	38	-14.77	20	20	10
chr10	102859947	102859948	Aluexon:1105	chr14:77934931:77934932:+	+	26	10.39	24	8	24
chr10	102860120	102860121	Aluexon:1104	chr14:77935108:77935109:+	+	203	7.99	24	8	24
chr10	103107616	103107617	Aluexon:1099	chr14:78178082:78178083:+	+	191	5.84	16	16	5
chr10	103168472	103168473	Aluexon:1100	chr14:78235739:78235740:+	+	183	6.44	13	13	6
chr10	103225856	103225857	Aluexon:1083	chr14:78284845:78284846:+	+	211	-15.45	14	14	4
chr10	103239333	103239334	Aluexon:1085	chr14:78296636:78296637:+	+	154	-22.17	9	9	6
chr10	106000727	106000728	Aluexon:5747	chr14:80993605:80993606:-	-	196	4.45	18	18	6
chr10	112391484	112391485	Aluexon:6552	chr14:87387807:87387808:+	+	19	8.68	7	7	6
chr10	113355658	113355659	Aluexon:6404	chr14:88359817:88359818:-	-	27	3.64	8	8	4
chr10	113994751	113994752	Aluexon:1090	chr14:88992391:88992392:-	-	38	-11.44	4	4	4
chr10	115408146	115408147	Aluexon:1092	chr14:90315263:90315264:-	-	35	1.35	6	6	5
chr10	116193538	116193539	Aluexon:6553	chr14:91114714:91114715:+	+	29	4.92	9	9	6
chr10	116370988	116370989	Aluexon:1098	chr14:91288820:91288821:-	-	19	7.94	5	3	5
chr10	116746753	116746754	Aluexon:1103	chr14:91651812:91651813:+	+	197	7.32	21	21	5
chr10	117520612	117520613	Aluexon:1101	chr14:92404748:92404749:-	-	79	-19.78	5	5	4
chr10	117710711	117710712	Aluexon:1111	chr14:92585274:92585275:-	-	66	-38.46	5	5	5
chr10	118354582	118354583	Aluexon:1108	chr14:93207513:93207514:-	-	37	-21.84	7	6	7
chr10	118354593	118354594	Aluexon:1107	chr14:93207524:93207525:-	-	26	0.27	7	6	7
chr10	11843290	11843291	Aluexon:4927	chr15:69698947:69698948:-	-	279	-10.30	11	11	7
chr10	11858284	11858285	Aluexon:2509	chr15:69713083:69713084:+	+	57	-9.05	12	12	9
chr10	11860752	11860753	Aluexon:2510	chr15:69715371:69715372:+	+	228	-11.76	13	13	5
chr10	119627837	119627838	Aluexon:5336	chr14:94473355:94473356:+	+	197	4.02	6	4	6
chr10	120781892	120781893	Aluexon:1109	chr14:95625211:95625212:+	+	183	4.27	9	9	5
chr10	121289164	121289165	Aluexon:4887	chr14:96120844:96120845:+	+	27	13.24	28	28	3
chr10	121310006	121310007	Aluexon:5337	chr14:96138306:96138307:+	+	9	8.98	12	12	5
chr10	121323959	121323960	Aluexon:5338	chr14:96154514:96154515:+	+	173	4.48	7	6	7
chr10	121942869	121942870	Aluexon:4888	chr14:96728987:96728988:+	+	43	4.19	24	24	5
chr10	122167105	122167106	Aluexon:1110	chr14:96954293:96954294:+	+	58	5.41	6	4	6
chr10	125290969	125290970	Aluexon:1112	chr14:99925182:99925183:-	-	77	-18.81	18	18	5
chr10	125704521	125704522	Aluexon:1113	chr14:100316459:100316460:+	+	172	6.96	8	2	8
chr10	126181369	126181370	Aluexon:1118	chr14:100760196:100760197:-	-	271	-4.11	5	4	5
chr10	126228111	126228112	Aluexon:1115	chr14:100804020:100804021:-	-	204	7.96	7	6	7
chr10	126254567	126254568	Aluexon:1114	chr14:100831885:100831886:-	-	51	-5.62	16	16	5
chr10	127752330	127752331	Aluexon:6223	chr14:102262242:102262243:+	+	80	-16.40	8	8	6
chr10	127887395	127887396	Aluexon:1117	chr14:102387428:102387429:+	+	36	2.17	12	12	5
