chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
chr10	100041032	100041033	AluID:237098	1	+	20	11.24	17	17	15
chr10	100058468	100058469	AluID:237105	chr14:75263691:75263692	+	22	-0.48	21	21	7
chr10	100081809	100081810	AluID:237111	chr14:75285996:75285997	+	21	2.30	22	22	5
chr10	100373889	100373890	AluID:237164	-1	-	20	-5.79	7	7	5
chr10	101100604	101100605	AluID:237283	chr14:76276720:76276721	+	18	-8.50	6	3	6
chr10	101741322	101741323	AluID:237375	chr14:76884967:76884968	+	19	-5.56	5	5	3
chr10	101765634	101765635	AluID:237385	chr14:76905165:76905166	+	18	0.73	14	14	7
chr10	10179253	10179254	AluID:249025	chr15:67990545:67990546	+	22	8.78	6	6	5
chr10	102518565	102518566	AluID:237474	1	+	20	-4.90	16	16	7
chr10	102534492	102534493	AluID:237484	chr14:77655462:77655463	+	18	-7.33	22	8	22
chr10	102575608	102575609	AluID:237487	chr14:77691195:77691196	+	22	2.82	12	12	4
chr10	102961991	102961992	AluID:237600	chr14:78026230:78026231	-	18	-1.01	7	5	7
chr10	103333247	103333248	AluID:237794	chr14:78382811:78382812	+	21	-7.08	18	18	5
chr10	103855229	103855230	AluID:237813	1	+	20	1.77	10	10	5
chr10	103918977	103918978	AluID:237822	1	+	20	3.20	24	24	7
chr10	104744274	104744275	AluID:237902	chr14:79730439:79730440	+	22	-13.70	5	4	5
chr10	104747054	104747055	AluID:237903	chr14:79733723:79733724	+	22	-0.40	5	3	5
chr10	105249730	105249731	AluID:237961	1	+	20	-8.88	4	4	4
chr10	10618494	10618495	AluID:249062	1	+	20	-18.85	5	5	4
chr10	106432965	106432966	AluID:238054	-1	-	20	-11.09	5	2	5
chr10	106864710	106864711	AluID:238120	chr14:81838902:81838903	-	19	-12.83	12	12	12
chr10	106997587	106997588	AluID:238146	chr14:81962290:81962291	-	18	-9.44	7	7	5
chr10	11280044	11280045	AluID:249160	1	+	20	3.32	7	7	6
chr10	1134932	1134933	AluID:246838	chr15:59197716:59197717	-	19	-0.71	10	10	3
chr10	113749656	113749657	AluID:238204	-1	-	20	-27.35	8	8	5
chr10	113789077	113789078	AluID:238211	chr14:88771552:88771553	-	18	-9.96	7	7	6
chr10	114659354	114659355	AluID:238337	-1	-	20	-12.50	5	5	5
chr10	114911942	114911943	AluID:238396	-1	-	20	2.73	7	5	7
chr10	114930751	114930752	AluID:238403	-1	-	20	-22.77	8	8	8
chr10	115565849	115565850	AluID:238548	chr14:90472910:90472911	+	21	-21.52	17	17	7
chr10	115577503	115577504	AluID:238553	chr14:90484826:90484827	+	19	-3.51	21	21	6
chr10	115688812	115688813	AluID:238587	1	+	20	-3.28	6	6	5
chr10	115813083	115813084	AluID:238607	chr14:90738256:90738257	+	21	-8.42	6	6	6
chr10	116261463	116261464	AluID:238667	chr14:91185418:91185419	-	22	-4.15	7	7	4
chr10	116496488	116496489	AluID:238723	chr14:91410796:91410797	-	22	-6.24	6	6	5
chr10	116604635	116604636	AluID:238763	-1	-	20	-10.61	6	6	5
